taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_min,significant,direction
Alkanindiges,0.09215582454819977,0.9997918431511768,0.012923546573404316,0.09284324876234626,1.2140392859827616,1.1393248996777174,1.2870286494293968,0.15492873604054047,1.569480131678552,0.04444225942715186,0.4464000001807437,0.09284324876234626,FALSE,ns
Finegoldia,0.23499192931669835,1,0.01497374406208715,0.09631324597505944,1.1740327422098495,1.11167966975965,1.2353037795128197,0.11540237015776444,1.735538186268867,0.03610221027484519,0.4576000001423564,0.09631324597505944,FALSE,ns
Wautersiella,0.0475034881402121,0.9598188864332261,0.019218889401013826,0.10172988285845959,-0.5786638164326252,-0.6970959248527686,-0.45951605167968435,0.22379786866689422,1.7657162157565898,0.06073242710451762,0.426400000250767,0.10172988285845959,FALSE,ns
Unknown genus24,0.01605752138733613,0.7029616611805762,0.020554778040483182,0.1027566631616736,-2.300800035191963,-2.413501164251744,-2.1812424204980596,0.28201390251132974,2.3047251922135743,0.05983620744871726,0.4213157371214633,0.1027566631616736,FALSE,ns
Blautia,0.27432586557198707,1,0.01784366796645318,0.10435487048193694,0.6372572172818565,0.5567704250594474,0.7096306655613169,0.17695472204528517,1.5406768122598082,0.07158103087071804,0.4417116578653592,0.10435487048193694,FALSE,ns
Burkholderia,0.4905910646525099,1,0.024548893838822868,0.11686888246826914,0.12020094446908125,0.04206347119986198,0.19676667904886624,0.17681774248947235,1.9321741350554893,0.05372964205048257,0.4443111379603317,0.11686888246826914,FALSE,ns
Aquabacterium,0.21335826563180882,1,0.025940617708039564,0.11709456439147356,-0.7961840247546119,-0.8740833412480944,-0.7198667221330224,0.1998365470615031,1.7637007972924392,0.05720658254655674,0.4366000002147865,0.11709456439147356,FALSE,ns
Bacillus,9.108367212403966e-4,0.12114128392497274,0.024483520845669588,0.9396510111640098,-1.6476083344428636,-1.5632157318319164,-1.7251447901607317,-0.2804969245752522,10.016715063727055,-0.0355845048075792,0.4390000002064053,0.12114128392497274,FALSE,ns
Rubrivivax,0.1811213406108844,1,0.029663726515970358,0.12662528771298925,-0.09772626102649351,-0.17656113693114683,-0.02229072878299565,0.19265627024578258,1.5046699364172653,0.07314524640374255,0.43771245771931244,0.12662528771298925,FALSE,ns
Unknown genus125,0.40334339725368573,1,0.028264763717943786,0.12746094705960725,1.2715468805123908,1.2038682105759309,1.3352650603325662,0.1383346264074774,1.5483782827627541,0.052341374986034986,0.448910218128436,0.12746094705960725,FALSE,ns
Unknown genus36,0.5854485930162777,1,0.028167690539098678,0.12764553411111088,0.9284224200468163,0.8395546791958601,1.007073679879885,0.17173406662317614,1.5218820865717255,0.06814619006582597,0.444200000188346,0.12764553411111088,FALSE,ns
Microbispora,0.49724351977011977,1,0.028980029004092987,0.12898617339171303,1.0270017100024962,0.9534998491797868,1.0961117240339195,0.15860530399445683,1.4967175162595625,0.05682372418598568,0.4476000001766062,0.12898617339171303,FALSE,ns
Alloiococcus,0.33188007689191973,1,0.03753639539329406,0.13397953880338562,-0.9168711109454657,-0.9887065173235818,-0.8438644481925506,0.1482912762620554,1.6031201718978574,0.045787320929153,0.4526000001594329,0.13397953880338562,FALSE,ns
Novosphingobium,0.4010013572438962,1,0.03536838089810253,0.1418326923222681,1.0780725583913906,1.017228471768016,1.1493609322551492,0.1629263448931706,1.9216437313537584,0.04577356191798784,0.4493101381430584,0.1418326923222681,FALSE,ns
Moryella,0.7022349986382841,1,0.03733592741711349,0.14384635206496915,0.9914771152420867,0.9380448240474895,1.0416370956664593,0.11477703069073364,1.6282287611579789,0.03342302617819953,0.45740000014303817,0.14384635206496915,FALSE,ns
Klebsiella,0.3131752027922185,1,0.04336530708591547,0.15574923907298738,-0.5066588793048226,-0.5667058376015257,-0.43699337146909567,0.13558104522976233,1.686386984509836,0.036748830426593916,0.4588000001382722,0.15574923907298738,FALSE,ns
Stenotrophomonas,0.2240365759212286,1,0.045892189412535644,0.16009022099975323,-0.939888999567768,-1.0254224096870548,-0.8478286046051515,0.19959165768228626,2.3923532569265253,0.043578439568928054,0.4421115778799682,0.16009022099975323,FALSE,ns
Tepidimonas,0.46773822572761287,1,0.04532328465294999,0.16145193042524708,0.792456927288546,0.7296268099162724,0.8556702437673085,0.1304926430946809,1.5393922242669902,0.03038073649167037,0.4518000001621734,0.16145193042524708,FALSE,ns
Unknown genus476,0.1972208437887372,1,0.04603642383006516,0.16190776745710156,0.4270563690084428,0.36349107876988906,0.4840517435332172,0.16399025480611318,1.612780803813333,0.050348640306649484,0.4491101781357465,0.16190776745710156,FALSE,ns
Shewanella,0.4664724238042466,1,0.04831096654097179,0.1656125029466713,-0.4769421250491952,-0.5510318292949075,-0.39638792994937777,0.1632806209197497,1.5766681262170392,0.050023914407802066,0.44651069804071775,0.1656125029466713,FALSE,ns
Unknown genus1,0.5298858402695811,1,0.04844928097685072,0.16716307430926902,0.9901324603972999,0.9202643577922887,1.0562796154246827,0.1783097297475873,1.5141786932825116,0.06511354504209695,0.4407118578288395,0.16716307430926902,FALSE,ns
Limnohabitans,0.27257003796369395,1,0.05567330144341817,0.17149620103582278,-1.3397066927233174,-1.4052819637046499,-1.2647829324026647,0.1524923307139101,1.7575926615978954,0.04545284155906128,0.4488000001724756,0.17149620103582278,FALSE,ns
Unknown genus35,0.20970916366580197,1,0.06015419882562692,0.1752662684390039,-1.8587333398294117,-1.939078285704297,-1.777390104535077,0.16953881107216695,1.6446424923497558,0.055305249543078555,0.4425114978945781,0.1752662684390039,FALSE,ns
Lactobacillus,0.16213007468774765,1,0.0630742253572252,0.19125353196319586,-2.2185761977900773,-2.338173581280543,-2.113265184412458,0.28097516190947225,10.305276943128462,0.03334951094520015,0.44060000020083423,0.19125353196319586,FALSE,ns
Anoxybacillus,0.9494226053012723,1,0.06694517608634981,0.20021416293983077,0.7218815178317568,0.669066819771027,0.7852792316251316,0.11711487305915824,1.8982669514701191,0.030426968268965394,0.45920000013691203,0.20021416293983077,FALSE,ns
Mycobacterium,0.33236417592629575,1,0.07764786765708953,0.20488118080853557,-2.4391823388268783,-2.538989677855259,-2.332968875017806,0.2322579007758332,2.6202867940329275,0.04260361903251632,0.4412000001987488,0.20488118080853557,FALSE,ns
Dietzia,0.5912625829231509,1,0.0707780425181846,0.2088948192584874,1.43005343265631,1.3656287141844787,1.4896332510804768,0.1197294588774156,1.5734670646114584,0.038804679758979034,0.4588000001382722,0.2088948192584874,FALSE,ns
Streptomyces,0.29624085325849375,1,0.09461204526507076,0.22062556656327934,-3.122821235446006,-3.208374818728349,-3.0302713631107148,0.1542101089190977,1.917228909341234,0.04087071658672134,0.45740000014303817,0.22062556656327934,FALSE,ns
Nocardioides,0.5631065906097606,1,0.08482086077075915,0.2284126062983912,-0.2579340515105395,-0.3170746087397225,-0.18649560808055554,0.15596052657826132,2.2037088933234017,0.033618398200725846,0.45070985819424103,0.2284126062983912,FALSE,ns
Mycoplana,0.5824251774352969,1,0.09981416294291462,0.23765308988454528,-2.027272685668718,-2.0921852840995667,-1.9627763815060773,0.13908268746111663,1.6453539714419367,0.03547693752844749,0.4581083784649047,0.23765308988454528,FALSE,ns
Cellulomonas,0.42924369483746005,1,0.0994617707103563,0.23813900768192298,-1.770027613355004,-1.8419674081626347,-1.698781454730823,0.14184513538648424,1.682714580192262,0.0417843661413613,0.452309538252745,0.23813900768192298,FALSE,ns
Rhizobium,0.7738218552517656,1,0.0905912466691183,0.2411659671029466,1.4713390752153712,1.410013850145095,1.5264594549200963,0.1268362199582409,1.6489040459747075,0.043331091358636394,0.45570885837709957,0.2411659671029466,FALSE,ns
Kocuria,0.8455836679715091,1,0.1060694028447357,0.2591682837287328,-0.051258119167405525,-0.08163622858339625,-0.021063851170306513,0.08170316469541294,1.505447181232121,0.025246987169318398,0.47220000009295426,0.2591682837287328,FALSE,ns
Peptoniphilus,0.63885368625007255,1,0.10741506468979463,0.2619795409624818,0.5634563091592524,0.48897325260299507,0.6300849247439828,0.14678258712177605,1.7653528864579755,0.03871199595942958,0.4539092183112597,0.2619795409624818,FALSE,ns
Janthinobacterium,0.4419250436345472,1,0.12696338301572177,0.2759295607141615,-2.769914443597285,-2.8514081016074533,-2.6785017497239583,0.15204821289005466,1.9528096716230108,0.03607754323335101,0.4598000001348719,0.2759295607141615,FALSE,ns
Modestobacter,0.7145712353181658,1,0.11907971397959102,0.278834750229673,0.06880554721231036,0.003694272161889778,0.12735412691285664,0.12803367309252156,1.5113735597107105,0.046150312313479935,0.45650869840636593,0.278834750229673,FALSE,ns
Unknown genus340,0.36007796825702243,1,0.13929480440102845,0.28244427420847945,-2.9771472991093244,-3.057091569216567,-2.891747544735061,0.16730493277239855,1.8633652949988795,0.0447951697075895,0.4513097382161789,0.28244427420847945,FALSE,ns
Rhodoplanes,0.6872302824451402,1,0.1474896258679651,0.2834178062617771,-3.041702103785088,-3.116992681667851,-2.963707745805082,0.15788352080858026,1.9181277256861957,0.041235296587361844,0.4568000001450828,0.2834178062617771,FALSE,ns
Flavobacterium,0.19965090933188043,1,0.1356412212094901,0.2866853201925362,-2.851325441243854,-2.932462721499726,-2.767775295565685,0.1683923897940458,2.103502663368732,0.04195787406341854,0.4500000001683503,0.2866853201925362,FALSE,ns
Chryseobacterium,0.8683599623187093,1,0.13801245431998826,0.29935612906047393,-1.6820043948767713,-1.7502268961435705,-1.6043175503765248,0.12483786955620779,3.3124791021471536,0.020513360206121902,0.46530693872843404,0.29935612906047393,FALSE,ns
Agrobacterium,0.3683810254207881,1,0.14948332752291837,0.3093152307884614,-2.4493078352288897,-2.5396730653836688,-2.35845119428624,0.19851212332128387,4.113336701338954,0.032042908226055294,0.4512000001642314,0.3093152307884614,FALSE,ns
Roseomonas,0.4377076918971556,1,0.1577703683827064,0.3172047192147966,-2.545758981774706,-2.634124495092884,-2.4560050622669856,0.1827112111469873,2.201189768151816,0.03717284907246732,0.4482000001745398,0.3172047192147966,FALSE,ns
Lachnoanaerobaculum,0.4591924116308279,1,0.15190677555961923,0.32553337319508124,0.4511178690264588,0.40412014950310304,0.4972037873539321,0.0907387250789009,1.7168023331719917,0.024557996464040943,0.4693061388749049,0.32553337319508124,FALSE,ns
Unknown genus20,0.9388413773215201,1,0.14945672258727963,0.327403737152878,0.8729307884787652,0.8323921449653282,0.9078160550722352,0.10545745902073644,2.12274835316512,0.028136152109453277,0.4693061388749049,0.327403737152878,FALSE,ns
Bradyrhizobium,0.6797170174144694,1,0.17169769681476243,0.33567490013238055,-1.1808318707016214,-1.2377862602538245,-1.1200963614677857,0.11779043184430549,1.6546559004938288,0.03430725545966418,0.4623075386186104,0.33567490013238055,FALSE,ns
Delftia,0.5290685837449726,1,0.1785901904674223,0.3420232988793413,-2.2233367202532905,-2.294710366347596,-2.1473893840576004,0.16562419569352915,1.953662022771808,0.04352050586218757,0.452309538252745,0.3420232988793413,FALSE,ns
Gordonia,0.9366859673050076,1,0.16954643720701307,0.35048864448518935,-0.07583688422324819,-0.1268978203445048,-0.025428683664856067,0.13998746492919345,1.6479834334654404,0.040066984238502926,0.4549090183478358,0.35048864448518935,FALSE,ns
Ruminococcus,0.4514881209289091,1,0.19501295917563488,0.354905918883007,-2.8728056410213965,-2.940632657541477,-2.8010796490333094,0.13491325215112226,1.961786437043238,0.040929805355689575,0.45730853843563424,0.354905918883007,FALSE,ns
Unknown genus6,0.8023265146674746,1,0.17557728174999632,0.35839483903507696,1.2676783523738875,1.230204973462242,1.3042829108009766,0.14681557172744597,1.757969224258722,0.045290575397825446,0.4526000001594329,0.35839483903507696,FALSE,ns
Geobacillus,0.8331120198876659,1,0.20758907307578858,0.38473809800668046,-0.4355387014936287,-0.49862087988802717,-0.37090541137423383,0.13652413429696075,1.5491665881853898,0.04232276409096066,0.453109378282001,0.38473809800668046,FALSE,ns
Afipia,0.6079473813840773,1,0.21345801564031058,0.3879349197459175,-2.651811958424479,-2.7259124339411915,-2.5710543978918903,0.1438741912721353,5.330471668352123,0.021214134368853034,0.46610677875772466,0.3879349197459175,FALSE,ns
Unknown genus123,0.5388081654362369,1,0.19724538086659296,0.39462485461646557,1.0850895937701086,0.9794431265288495,1.1957876912630683,0.1993862170465297,6.8294891528939985,0.03318573013434578,0.4524000001601176,0.39462485461646557,FALSE,ns
Enhydrobacter,0.791479567870308,1,0.22972531163046933,0.3956831213258952,-3.0144110829169213,-3.08065937888364,-2.9474167004034673,0.1332288613426975,2.1488244790041753,0.028649271024186025,0.46440000011927146,0.3956831213258952,FALSE,ns
