taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_min,significant,direction
Rothia,0.02031237908696411,0.40129883027795077,0.004667335188379118,0.17260118900333243,9.88608750005756,9.406490759740318,10.481780292495191,0.7160979412385569,9.920565551857049,0.09027373781727777,0.42711457733270997,0.17260118900333243,FALSE,ns
Anaerococcus,0.004751841845564578,0.17414319369575576,0.010771074336289772,0.30546719254027027,1.3816263351407514,1.0038917835424268,7.388538894256091,0.7024809037332265,8.900553990528032,0.0930537601006058,0.42760000024650197,0.17414319369575576,FALSE,ns
Erwinia,0.07700933871371306,0.8624944781719741,0.035323270507883794,0.18875252979058468,-2.0469132868840436,-1.8266727225131838,-2.310883501734433,-0.5143658711214281,3.8147728844561115,-0.0912439503159504,0.41000000031004574,0.18875252979058468,FALSE,ns
Sphingobacterium,0.2535375208455539,0.9890836734433542,0.03797455887697362,0.19364827995722433,-1.657895856261729,-1.445184353904974,-1.8907773258924516,-0.4753961347948348,3.828993734991297,-0.08464081468929133,0.4153169369031741,0.19364827995722433,FALSE,ns
Leuconostoc,0.10071492684036697,0.9594031435590399,0.0350505614264956,0.20746384968594017,-0.43002565223971967,-0.22451007648063914,-0.6716314383892881,-0.5136942961744024,7.619362764818096,-0.07599392135295008,0.4075184966198039,0.20746384968594017,FALSE,ns
Unknown genus81,0.29911557040019476,0.9940441639594757,0.04311898274671879,0.21092003987013047,-1.2615322540730158,-1.0496385916920223,-1.5112444553244693,-0.4580632233583124,4.024583420887115,-0.08323148622893975,0.41740000028305824,0.21092003987013047,FALSE,ns
Kaistobacter,0.14453041095020538,0.9876390747753674,0.039880909860606786,0.21385883737740807,-0.7326720615712397,-0.5345278238893814,-0.9833791461909271,-0.513257455205534,5.5627059515284625,-0.08158508871963377,0.41031793672147115,0.21385883737740807,FALSE,ns
Treponema,0.11381851303343925,0.8992990499307836,0.05197090405633044,0.22249481430822549,-1.8017148270729288,-1.5831936046668966,-2.048806904157531,-0.461406461182178,3.668755984355043,-0.08621340897871832,0.41860000027872046,0.22249481430822549,FALSE,ns
Unknown genus5,0.06919814253775583,0.8568237778364898,0.05902399812883916,0.22919848918816252,-1.5817670030474096,-1.3448246572002498,-1.8484550027922175,-0.5469580581136491,3.585743124288409,-0.09975002918643158,0.39960000034872756,0.22919848918816252,FALSE,ns
Shewanella,0.11023026461074047,0.9608860134764375,0.04770442201133868,0.23201858655238072,-0.4607174068553359,-0.21822027800597255,-0.7114308008231687,-0.5045279968778527,7.04590291115152,-0.07399531150508562,0.41411717685954835,0.23201858655238072,FALSE,ns
Phenylobacterium,0.05265045089031447,0.7505027256300446,0.06945269082865034,0.2396575027171035,-2.382620036651171,-2.14672386183394,-2.6459364433370096,-0.45521586362273414,3.282402960846614,-0.09221901620106632,0.4218000002672034,0.2396575027171035,FALSE,ns
Unknown genus10,0.1466562439320613,0.9331351667788083,0.06396924579051841,0.24043143457061567,-2.3886817646652876,-2.1628552326580355,-2.627318155112045,-0.4384161792401855,3.1262700235492034,-0.09086800934487005,0.41480000029249264,0.24043143457061567,FALSE,ns
Mycobacterium,0.13814890411814,0.9836368859266529,0.058295143916743355,0.25366416538689146,-0.268619481296116,-0.054247342228253004,-0.5667429143231191,-0.5157311882671181,6.580075693353857,-0.07941755323129429,0.4088000003144622,0.25366416538689146,FALSE,ns
Janibacter,0.1695057744200201,0.978223661573057,0.06265907590855116,0.25665966662341044,-2.3853195002155863,-2.1925893170548854,-2.595524186579265,-0.48087007607577714,9.878054904372231,-0.05460839213606667,0.43560000021828754,0.25665966662341044,FALSE,ns
Unknown genus1,0.5697039015926434,1,0.07307793826737834,0.26340086806265095,-1.356548111592434,-1.1781930204712259,-1.5647867704718603,-0.33193461790498,3.8210458186483054,-0.059281955343001964,0.4399120177996281,0.26340086806265095,FALSE,ns
Dialister,0.2687845067517988,0.983869884355698,0.08337432296039006,0.27345428163643093,-2.0777878868642787,-1.8686987313363286,-2.313526572658408,-0.401038204749649,3.4396825041594754,-0.08125344744844422,0.4282000002443729,0.27345428163643093,FALSE,ns
Clostridium XlVa,0.20363680975511508,0.9598012411714935,0.08697030535267608,0.27731075585554427,-1.9635385256515008,-1.7614828902178283,-2.17622459345697,-0.3388633834319057,3.199226825969035,-0.07054993542384247,0.43760000021129064,0.27731075585554427,FALSE,ns
Geobacillus,0.27237948046042654,0.9784304813758127,0.08367327414855205,0.2797198617246535,-2.127604385686846,-1.9117789060633221,-2.3516466783369507,-0.3800525144753424,3.5410826034571876,-0.0703149334465905,0.430800000235171,0.2797198617246535,FALSE,ns
Cloacibacterium,0.37578699715663394,0.9996526578822047,0.09482093843968425,0.2931230962206063,-1.9797948073411735,-1.7755999675432683,-2.1960389974468786,-0.4440974000868261,5.740575366365006,-0.06212757785824046,0.4288000002422453,0.2931230962206063,FALSE,ns
