taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_min,significant,direction
Anaerococcus,0.5783326569487323,1,0.3164021189808919,0.6341063784385814,-1.7517165008741813,-1.8646451942695315,-1.6355109335314708,0.2459822915289811,4.332436426522198,0.041666605945991544,0.4605078985527293,0.6341063784385814,FALSE,ns
Ralstonia,0.7007957490592402,1,0.3349602097084837,0.6455984623503426,-2.383390070124771,-2.4460678055834366,-2.301344816563468,0.17471356775675773,5.654171215926161,0.02354336101220713,0.4767046591459754,0.6455984623503426,FALSE,ns
Unknown genus41,0.7526822407666237,1,0.3425313433204458,0.6463481493264067,-2.260868301718709,-2.3268180590454683,-2.184118016312092,0.20380806723147504,3.5378934938753774,0.037791423344711556,0.468706258852931,0.6463481493264067,FALSE,ns
Blastococcus,0.8648998001261679,1,0.38869501013541774,0.6776816828607973,-3.0301474186816835,-3.1150758149894653,-2.932249664836891,0.194834670095843,3.565056664596778,0.030747636902282542,0.4679064188236349,0.6776816828607973,FALSE,ns
Cloacibacterium,0.8962150295677642,1,0.41795992010303185,0.7104202915903393,-2.662957987648328,-2.735441755075848,-2.5815922837403447,0.16421599441835877,3.5914964824131133,0.026838835940494722,0.4750000000835424,0.7104202915903393,FALSE,ns
Mesorhizobium,0.8716848721017818,1,0.4033553680740377,0.7128518098275937,-2.9142772248070203,-3.0246837478312303,-2.789188061968753,0.2090856861164374,4.236689917285607,0.028905498505336163,0.46830633883828254,0.7128518098275937,FALSE,ns
Devosia,0.031165376797596223,0.727321629166642,0.44917318280447904,0.999292672569416,-2.8266050441718154,-2.8468448318110466,-2.79793850622024,-0.007148052290324891,6.118130338503688,-0.0012511543673940956,0.498900219959673,0.727321629166642,FALSE,ns
Janibacter,0.27170890127819136,1,0.4556962992648366,0.7449027738172069,-2.1696225487375793,-2.2275302158840846,-2.109688051165172,0.13160617853590217,3.534829088930752,0.020953159224948954,0.4798000000674436,0.7449027738172069,FALSE,ns
Prevotella,0.6592057107564694,1,0.4335019012185019,0.7549534016502841,-1.4130450799085823,-1.6032658527848804,-1.2020769747937736,0.2534981970725214,11.261080157327434,0.024463529302706143,0.472400000092281,0.7549534016502841,FALSE,ns
Arthrobacter,0.6411760447605077,1,0.4830546017746356,0.770589514677176,-2.472426832208413,-2.573208868974125,-2.3588535664183468,0.2361546217790158,4.1547209213099165,0.03621831446944565,0.4642000001199484,0.770589514677176,FALSE,ns
Propionibacterium,0.890433185836038,1,0.44909197662374173,0.779572042200569,-0.4281372949817239,-0.5226152065902872,-0.2939536807163039,0.1975677714263231,7.749677274021344,0.02939256934106124,0.46990601889687883,0.779572042200569,FALSE,ns
Actinomyces,0.6860064988300167,1,0.5157735221878826,0.8034405875155802,-1.478390884638304,-1.5904023307140296,-1.3515927527253107,0.16228389930863063,8.394508523814942,0.021096606636580726,0.474905019080029,0.8034405875155802,FALSE,ns
Paracoccus,0.4001354531344784,1,0.4740030724114133,0.8080988973021316,0.18200238602151764,-0.08500996058207289,0.41595149017709954,0.40313299570334626,9.454840691985375,0.047815019690401736,0.4583083384722226,0.8080988973021316,FALSE,ns
Halomonas,0.6619124376625826,1,0.5654862353044924,0.8176953180926284,-2.7806226555426763,-2.836464896878236,-2.716463913920525,0.15884672946098632,3.945808132052135,0.02681461320136944,0.47460000008488545,0.8176953180926284,FALSE,ns
Leptotrichia,0.8298219089812534,1,0.5861267174288518,0.8268822847963277,-2.732980446412247,-2.826105138147149,-2.627476912442126,0.18013638862821768,7.981887663827685,0.02245150197847605,0.4711057789408295,0.8268822847963277,FALSE,ns
Porphyromonas,0.858518525847948,1,0.5907400745983244,0.8352333619138471,-2.673399294334791,-2.735555947511444,-2.5999589847849265,0.12818178021808535,3.9367566024609717,0.02050197142279757,0.48190361933652054,0.8352333619138471,FALSE,ns
Escherichia/Shigella,0.4245902153260641,1,0.5613753828921172,0.8668006585645566,-0.9908891199179042,-1.1200735698597706,-0.8555656083013226,0.16990023056154513,10.87955599564453,0.01780889069984115,0.48450309943180947,0.8668006585645566,FALSE,ns
Bosea,0.6577132218823609,1,0.6978500967173266,0.9269588783536392,-1.4562127157158935,-1.5020486773394888,-1.3996812257388278,0.10541006527145758,8.078706035087697,0.013365204656895805,0.4857028594757917,0.9269588783536392,FALSE,ns
Streptococcus,0.8832736538303297,1,0.6505072966423778,0.9360954648368878,8.856962318464843,8.869586949534956,8.849444413759526,0.0789911777337089,10.073300562831903,0.008764114224470942,0.4920000000266737,0.9360954648368878,FALSE,ns
Neisseria,0.951990557993102,1,0.7219511269613665,0.9366768353559536,-0.9133123328326684,-1.0152210048923243,-0.8072154514263525,0.16507453475134515,7.103004471152099,0.02661111169841973,0.4736000000882462,0.9366768353559536,FALSE,ns
Sphingomonas,0.8599353482974736,1,0.6584485330111548,0.9411351791088599,7.141669158397159,7.25026605033732,6.982346396471816,0.08366518086713004,8.899754001685618,0.011379491330631096,0.49050189965173524,0.9411351791088599,FALSE,ns
Acidovorax,0.46409376129275726,1,0.7855421432184629,0.9500642324282551,-1.4952814459770218,-1.512997358954407,-1.4752895168722864,0.0713390095923856,4.579593096927688,0.010266715704418915,0.489902019629741,0.9500642324282551,FALSE,ns
Lactococcus,0.409381158645602,1,0.8032718216741379,0.9556866257803325,-2.7048519246691427,-2.7399055023819807,-2.6615742331009633,0.09610263659811302,4.1371041227215235,0.014897569540763603,0.483503299395159,0.9556866257803325,FALSE,ns
Veillonella,0.2855215842411413,1,0.8334532513806102,0.9665590714618256,-1.1254357206809624,-1.129002094744692,-1.1212184822038154,-0.02885592056905839,7.307772235241599,-0.005355585056851897,0.49470105980570006,0.9665590714618256,FALSE,ns
Sphingobium,0.238885617592827,1,0.8471669673811363,0.9731117420545717,-1.7108191978183624,-1.6880134627256087,-1.7362723231185093,0.006824483873648646,4.015456757132217,9.26836740767864e-4,0.49910017996700556,0.9731117420545717,FALSE,ns
Brachybacterium,0.10311198172318344,0.9834248608684186,0.8567377652660251,0.9842372402822182,-2.2802922479598298,-2.3167998112577406,-2.2445244105729323,0.001985545253664789,4.387292665805642,3.3646965846480747e-4,0.49950009998166994,0.9834248608684186,FALSE,ns
Aeromonas,0.09792487548806415,0.9882321381789261,0.7235314458145927,0.9978618926936833,-2.0887660849250755,-2.114334290908425,-2.0643844247247918,0.08533834072175406,3.71575034713278,0.01457590903426861,0.4875024995417677,0.9882321381789261,FALSE,ns
Rothia,0.1860698429561182,1,0.8162408723923807,0.9982899483330868,-0.9856817731690706,-1.012461429471105,-0.9545991621871854,-0.08379712939612105,8.988942371641603,-0.00997719440173184,0.4891021796004159,0.9982899483330868,FALSE,ns
Microbacterium,0.31567973304421354,1,0.8081949602630901,0.9985560622878437,-0.9191895229917924,-1.0010778675928815,-0.8244786877457653,0.03412690989190548,7.988026891492522,0.005100753541521584,0.4959008198496924,0.9985560622878437,FALSE,ns
Acinetobacter,0.6510884388253572,1,0.9416922905724149,0.9989908429564648,0.8003129151993695,0.980057794885969,0.766534154914587,0.04678454922053987,9.391345996848894,0.005061895624769857,0.494400000018669,0.9989908429564648,FALSE,ns
Methylobacterium,0.27325896684175693,1,0.7943678687947953,0.9994149872223503,-0.9981157917374972,-1.0997807234444554,-0.8980889411336301,0.0580581152978592,10.238220950772055,0.006700791822795873,0.4937012597690415,0.9994149872223503,FALSE,ns
Corynebacterium,0.126114534752118,1,0.1968938873072356,1,9.203594818079491,9.480212309668623,8.880278318425606,-0.5008884683381192,7.611513260007468,-0.07114000570901882,0.45350929829662995,1,FALSE,ns
Staphylococcus,0.5044159838060638,1,0.48543635974443666,1,6.744656894713158,7.382808014649542,6.10649333898235,-0.12209301166304609,7.511383105070886,-0.017847711529805486,0.4881023795637606,1,FALSE,ns
