taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,diff,diff_robust,significant,significant_robust,direction,direction_robust
Leptotrichia,-0.36626023297969756,-0.04735641256579286,0.2851908428093642,0.24219187185004817,-1.2842636508652707,-0.19553262545125102,0.2034680088100289,0.8467439782496946,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.04735641256579286,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Massilia,-0.09117078030280698,-0.04374508381611913,0.19406889073325817,0.25578772265371524,-0.46978565167417,-0.17102104574167193,0.6395385010570611,0.8646816916667045,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.04374508381611913,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Mesorhizobium,0.07795336188871592,0.1380859881414931,0.18520578285020237,0.17232115291048414,0.4209013384412837,0.8013292959641743,0.6754914863707129,0.5066729576723391,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.1380859881414931,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Methylobacterium,-0.33532935379723566,0.0812800309488919,0.2159879152886543,0.2929168480058785,-1.5525375729891602,0.27748499788329245,0.1226429249276622,0.7819452577074792,0.9017696682065666,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0812800309488919,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Microbacterium,-0.10544063139585987,-0.1886649713453395,0.19027400352571253,0.27323463663631725,-0.5541515364268416,-0.690487024880589,0.5807374810118844,0.4915201033477291,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.1886649713453395,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Mycobacterium,-0.12885206723649406,-0.05035128109072423,0.24938860188665787,0.32509194228575766,-0.5166718376931065,-0.15488320238483538,0.6076076066585907,0.878349691864418,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.05035128109072423,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Neisseria,0.027156826514719803,-0.22710700650121626,0.2020237323569057,0.2846971117956632,0.13442394216706743,-0.797714473001815,0.893340256178414,0.42694544741971674,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.22710700650121626,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Nocardioides,0.06761124028796062,-0.24090049922034254,0.2474612221504806,0.34099067290288393,0.27321953597580784,-0.7064724004605029,0.7856895731103547,0.4828235763921116,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.24090049922034254,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Novosphingobium,-0.27942203008093763,0.3090573400464756,0.25046839213147243,0.30985149770240955,-1.1155979710775932,0.9974369733184357,0.2713473634694824,0.33786560176053515,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3090573400464756,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Paracoccus,0.05671464343418222,-0.28820570995150924,0.1777571115779601,0.24421235181679724,0.3190569588508897,-1.1801438699043154,0.7500595373650198,0.23952660513186805,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.28820570995150924,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Porphyromonas,-0.011217383867399447,-0.12872136873687454,0.23963896727171424,0.3112109221869629,-0.046809515143172165,-0.41361456028700677,0.9628582137502553,0.6855087399832136,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.12872136873687454,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
