taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,significant,direction
Finegoldia,-0.06924570632391679,0.1298749599940899,0.15936337478719204,0.21237188970428184,-0.43451455779212095,0.6115449656493374,0.6641221657725374,0.5414508204143884,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.1298749599940899,1,FALSE,ns
Flavobacterium,-0.12685072287510965,0.19364686816995405,0.19873341121710603,0.27238214808039235,-0.6382959065525815,0.7109381783449334,0.5236123919826421,0.47749837702452347,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.19364686816995405,1,FALSE,ns
Friedmanniella,-0.18993067874188935,0.37124490483003525,0.15175590121325896,0.20221310982521432,-1.2515538257387715,1.8359091809177253,0.2113790415671049,0.06767909497981041,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.37124490483003525,1,FALSE,ns
Fusobacterium,0.01852931192990637,-0.0456750765135548,0.21033207400454018,0.271642843937745,0.08809551285795052,-0.16814386070859497,0.9298407259598704,0.8666198174252856,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.0456750765135548,1,FALSE,ns
Gardnerella,-0.03892233788737061,0.032100724861829445,0.19336070326104826,0.25555306583178583,-0.20129394044881588,0.12561275583740908,0.8405611929368432,0.9001545033669534,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.032100724861829445,1,FALSE,ns
Gemella,-0.002079201815623518,-0.052053005652316145,0.22124358483410722,0.3056579882147089,-0.009397794820503132,-0.17029820145172062,0.9925059665381153,0.8648530225524642,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.052053005652316145,1,FALSE,ns
Geobacillus,0.03286915950201953,-0.07435477165778136,0.1670305194846349,0.2195275409951515,0.19678535158386523,-0.33870361468415283,0.8440848030490188,0.7351461047959171,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.07435477165778136,1,FALSE,ns
Gordonia,0.015816845094911398,-0.04025014284356576,0.16725460101572667,0.21974898777060362,0.09456747377265971,-0.183164178601737,0.924700701357865,0.8548326914390048,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.04025014284356576,1,FALSE,ns
Granulicatella,0.07054550550550384,-0.15958482627173887,0.17655013138963382,0.23157441833938952,0.39957775703839515,-0.6891297726930072,0.6896595052806418,0.4914453910513906,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.15958482627173887,1,FALSE,ns
Haemophilus,0.008339156002944303,-0.07943752870050778,0.17347444827340652,0.2360224604710708,0.0480713793065436,-0.3365676662380376,0.9616810199217105,0.7366022090102256,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.07943752870050778,1,FALSE,ns
Halomonas,0.08370499656873728,-0.17602644579121685,0.1748570543820914,0.23682452685673128,0.47870528795382833,-0.7432779371610666,0.6323789343894037,0.4580819908642575,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.17602644579121685,1,FALSE,ns
Hydrogenophaga,0.07910364388936775,-0.21666053601091842,0.18369174123119542,0.24263466031055977,0.4306325551664703,-0.8929496541574241,0.6669474555451963,0.37286428298545937,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.21666053601091842,1,FALSE,ns
Janibacter,0.13802457404147075,-0.2846656007366836,0.16710681642203767,0.22385048445013284,0.8259661514517871,-1.2716773941139206,0.40925847042557306,0.2047891037088091,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.2846656007366836,1,FALSE,ns
Janthinobacterium,-0.055849155924350524,0.0475126882223635,0.1808321695099152,0.24663888201079817,-0.30884524626182874,0.19264070545163814,0.7575844398167756,0.8473286441361007,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0475126882223635,1,FALSE,ns
Jeotgalicoccus,0.06582097430106491,-0.18622797880484138,0.17503455319238226,0.2315982697926047,0.3760456041426313,-0.8040991798928713,0.7070636485247817,0.42218364641349204,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.18622797880484138,1,FALSE,ns
Kaistobacter,-0.10599427050910781,0.2033720883644723,0.17038538129813005,0.23232569523250787,-0.6220854729529022,0.8753749263977914,0.5341979484613705,0.38183281504877964,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.2033720883644723,1,FALSE,ns
Klebsiella,-0.07101183601634661,0.13340721937895034,0.16851577289967007,0.22960170567214808,-0.4213957826881002,0.5810375797880379,0.6736655344935052,0.5615034536795028,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.13340721937895034,1,FALSE,ns
Kocuria,0.005244365451376947,-0.019105183556496284,0.16156061772704003,0.20636773561444102,0.032460667241551465,-0.09257834563921706,0.9741195745127009,0.9263201995555579,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.019105183556496284,1,FALSE,ns
Lachnoanaerobaculum,0.05220832760963632,-0.11303310787301542,0.17777466795347152,0.1730134686697966,0.2936769800256393,-0.6533197024605281,0.7692183065926324,0.5142113748167856,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.11303310787301542,1,FALSE,ns
Lactobacillus,-0.18724866239649293,0.3346326312455105,0.2790789181801239,0.3851011219625309,-0.6709523729615375,0.8689474326643722,0.5025959139454363,0.3858009132117637,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3346326312455105,1,FALSE,ns
Lactococcus,0.1206979356626963,-0.2500123239791355,0.1779122807088565,0.24205695462675528,0.678412615373144,-1.0328656921452521,0.4978558417792067,0.302765902241432,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.2500123239791355,1,FALSE,ns
Lautropia,0.01575714448297189,-0.12920759835245732,0.17720853311247214,0.2342546426290219,0.08891865536165246,-0.5515689973200546,0.9291877075866216,0.5817936816939162,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.12920759835245732,1,FALSE,ns
Leptotrichia,0.06361491413916898,-0.15722037902113345,0.25958520530404733,0.2686660627517351,0.24506371256658488,-0.5851888303675157,0.8065505652636609,0.5590040370260743,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.15722037902113345,1,FALSE,ns
