taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,diff,diff_robust,significant,significant_robust,direction,direction_robust
Actinoplanes,0.40691016507238537,0.018318532711976764,0.04764242149108007,0.03414172032911816,8.54092114416497,0.5365439273531156,1.3885563942749933e-15,0.5924764075558089,6.7558609182994864e-15,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.018318532711976764,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinopolymorpha,0.37626909454957713,-0.01336689662429432,0.0483239966412721,0.034126113576175225,7.786381936551515,-0.3916911486113753,2.1989385471604368e-13,0.6959973798742106,8.303454513904335e-13,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.01336689662429432,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Adhaeribacter,0.3274265900210777,-0.04551221494861173,0.05757448299749574,0.050746409076839534,5.687008774969277,-0.896855871707055,3.854248985148218e-8,0.37072153898387394,1.1080965832301128e-7,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.04551221494861173,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aequorivita,0.5883930370996742,-0.0060002223817079755,0.04467498540285385,0.028707913234292698,13.170525559076903,-0.2090093533702227,8.742163300551068e-30,0.8347907936499991,1.7013594731072461e-28,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.0060002223817079755,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aeribacillus,0.6951981226555747,0.00201127137256643,0.04356499021610304,0.027901328358810693,15.95772475116055,0.07208514758514392,1.4196155965403933e-37,0.942652823347184,8.979068648117987e-36,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.00201127137256643,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aerococcus,0.37516891141516684,0.0017411724038712167,0.05349363349094348,0.04411956260646664,7.013337605468196,0.03946486095979591,1.672351795702027e-11,0.9685472068091165,5.424423132212985e-11,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.0017411724038712167,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aeromicrobium,0.3084418496484,0.0022584117094525276,0.04868321796654643,0.033496008594990447,6.3356914873694565,0.06742330815470021,1.0317668364183152e-9,0.9463441730431754,3.107583447783735e-9,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.0022584117094525276,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aeromonas,0.3493863375117121,0.01563116439646904,0.06393248464420577,0.051630314965835235,5.464926624643192,0.30275167615794096,1.195605729060981e-7,0.7625667260332429,3.360980549471424e-7,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.01563116439646904,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Afifella,0.38800781713902827,0.039923750063075206,0.04860409540471437,0.03426855713643608,7.983027230692854,1.165025708672929,4.7119964311105655e-14,0.24603774875162718,1.92279854366286e-13,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.039923750063075206,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Afipia,0.9115815169601201,-0.1856047185935639,0.15392553924584704,0.16142643671372586,5.922223962484607,-1.1497789480586496,1.2809329939695686e-7,0.26833353869690885,3.561275246970339e-7,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.1856047185935639,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aggregatibacter,0.26743080893554416,0.02152351474280655,0.05218753812179247,0.040511320386245324,5.124418942917532,0.5312963028011883,5.635843449857512e-7,0.5960031474950264,1.5498569487108157e-6,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.02152351474280655,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Agrobacterium,0.3002562349092873,0.03428251142245832,0.05891930167293142,0.047549087677287195,5.096058954942271,0.7209919915841849,6.712437731556937e-7,0.47222037202653155,1.8260717699826933e-6,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.03428251142245832,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Agrococcus,0.4673489193401958,0.017322324198298347,0.046242428522029234,0.03119251975376844,10.106496009775036,0.5553358412542353,7.519745712802917e-20,0.579811133308995,6.137082791416575e-19,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.017322324198298347,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Agromyces,0.540310180236731,-0.02724640871343925,0.051927742356433715,0.031457217568724286,10.405038919813313,-0.8661417257872308,8.354001434026167e-20,0.38932049945844505,6.604882383776938e-19,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.02724640871343925,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Akkermansia,0.3819535163858668,0.011264347558386435,0.04578122274134591,0.029698168029045558,8.34301692953511,0.3792943573950292,4.560906378184065e-15,0.7050943945767445,2.13686909940846e-14,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.011264347558386435,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Alcaligenes,0.5007301556702587,0.02232293129803921,0.05652623083822649,0.04707620611509454,8.858368022154316,0.47418713486517705,3.7462701752187667e-16,0.6361402911708982,1.974596571521558e-15,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.02232293129803921,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Alcanivorax,0.476330588278197,0.0033582933586810966,0.04656724355324335,0.0315276633730568,10.228876607943894,0.10651894239492096,1.2891160754441674e-20,0.9153410672092999,1.0871545569579144e-19,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.0033582933586810966,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Algoriphagus,0.515741197716981,0.01777100679876383,0.05218341648638377,0.03043839471791347,9.883239397549861,0.5838352174434913,1.802778399735368e-18,0.5611041601266414,1.169494705469354e-17,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.01777100679876383,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Alicyclobacillus,0.3951302211943224,-0.025579972712062724,0.04798627752181148,0.031753168444699435,8.23423365179184,-0.80558803939872,1.0024200588200276e-14,0.4219603781782053,4.44933815581521e-14,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.025579972712062724,1,FALSE,FALSE,FALSE,FALSE,ns,ns
